1,Article Title,Authors,Journal,Keywords,Abstract,Publication Year,DOI Link,Paper number,Read by,Overlapping papers,Relevant,Not_relevant_reason,Experiment_type,Management/Treatment_specific,Treatment_broad,Focus_broad,Focus_specific,Focus_details,BEF_focus,EF_group_broad,EF_group_specific,EF_specific,EF_details,Ecosystem function_measurement,Service/disservice,EF_dimens,EF_dimens_specific,Trophic level_function,AG_BG,Strata_EF,Relationship_management_function,context dependency_management_function,Biodiversity manipulation (broad),Biodiversity manipulation (specific),Dir/indir_biodiversity,Indirect_specific,Trophic level_biodiversity,Trophic group,Trophic group_broad,Functional group,Taxon_broad,Taxon_spec,Taxon_details,Div_level,Div_index,Div_index_specific,Relationship_diversity,Relationship assessment,Source result,Relationship_management_diversity,Context dependency_management_diversity,Climate change,Climate change (specific),Climate_response,Relationship_climate,Habitat,Habitat_response,Relationship_habitat,other covariate,which other covariate,BEF_context depend_broad,BEF_context depend_spec,Context dependency BEF_explanations,Ecosystem_type_broad,Ecosystem_type_specific,Continent,Country_broad,Country_details,GPS_N,GPS_E,Comment
2,Agricultural management intensity determines the strength of weed seed predation,"Daouti, E; Feit, B; Jonsson, M",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Carabid species; Agricultural intensity; Poa annua; Arable plants; SEM path analysis,"Agricultural intensification both increases disturbances at the field level and reduces habitat heterogeneity at the landscape level and this can have detrimental effects on biodiversity-driven ecosystem services. A few studies have shown that agricultural intensification can diminish the ecosystem service of weed seed predation, but it is not known to what extent availability of crop and non-crop habitat can provide disturbance refugia for weed seed predators and how those effects cascade to ecosystem service provisioning. Using data from 13 fields in Southern Sweden, we first combined diet preference traits, activity density and metabolic theory, in order to develop a metric that approximates the community strength of seed predation. We then explored how the impact of field management intensity and habitat refugia on seed card predation rates mediated by weed seed availability and the metric of community strength of seed predation. We found that increasing field management intensity directly reduced seed card predation rates and weed seed availability and that reduced weed seed availability in turn impaired the community strength of seed predation. This suggests an indirect mechanism by which field management limits seed predator potential for weed seed predation. We found no evidence that either crop or non-crop refugia can increase seed card predation rates or community strength of seed predation during dis-turbances in the crop. Consequently, weed seed predation can be promoted by reducing disturbances at the field level, regardless of the availability of disturbance refugia in the landscape. Reduction of field management in-tensity can directly increase weed seed predation and indirectly seed predator communities' potential for weed seed predation by increasing weed seed availability. Future research is needed to explore if supporting a diversity of non-competitive weeds to enhance seed availability can improve the suppression of dominant and competitive weed species.",2022,http://dx.doi.org/10.1016/j.agee.2022.108132,1,Oksana,,No,"No biodiversity, but rather community composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Trophic functioning of integrated rice-fish farming in Madagascar: Insights from stable isotopes (delta C-13 & delta N-15),"Mortillaro, JM; Dabbadie, L; Raminoharisoa, AE; Paradis, A; Martel, P; Andriamarolaza, R; Raliniaina, M; Mikolasek, O; Aubin, J",AQUACULTURE,Rice-fish farming; Common carp; Food web; Stable isotopes; Trophic niche partitioning,"Trophic dynamics of integrated rice and fish farming (IRF) systems were studied in irrigated rice plots stocked with common carp in Madagascar. Fish feeding behavior was assessed by analyzing stable carbon and nitrogen isotopes of fish and natural feed sources. Stable isotope signatures of 45-day-old carp fry introduced into rice plots (delta 13C = - 18.8% +/- 0.5%, delta 15N = 9.3% +/- 0.6%) revealed that they had been fed chicken egg yolk and corn meal, in accordance with local practices. However, after a 100-day growing period in experimental rice plots, C-13 and N-15 depletion was observed for 145-day-old carp, indicating a change in feeding sources. Under extensive conditions, common carp that fed on rice roots, sediments and suspended particulate organic matter (i.e. plant debris and detritus) had a larger trophic niche (3%(2)) than 45-day-old carp (1.2%(2)). Overall, common carp feeding behavior and the trophic food web in the IRF system suggest that increasing natural productivity through organic fertilization will enhance ecological intensification of both rice and fish production.",2022,http://dx.doi.org/10.1016/j.aquaculture.2022.738240,2,Oksana,,No,No biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity (permanent grassland <- extensive rotation <-intensive wheat rotation),Land use intensity,Natural/croplands,Natural/croplands,,NA,decomposition,decomposition,soil respiration,soil respiration,CO2 production,service,flux,flux,2,BG,soil,negative,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,negative,No,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
5,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity,Land use intensity,Natural/croplands,Natural/croplands,,NA,nutrient cycle,C cycling,CH4 production,CH4 production,CH4 production,disservice,flux,flux,soil,BG,soil,positive,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
6,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity,Land use intensity,Natural/croplands,Natural/croplands,,NA,nutrient cycle,C cycling,DOC leaching,DOC leached,DOC leached,disservice,flux,flux,soil,BG,soil,negative,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
7,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity,Land use intensity,Natural/croplands,Natural/croplands,,NA,nutrient cycle,N cycling,N mineralization,N mineralization,N mineralization,service,flux,flux,soil,BG,soil,neutral,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
8,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity,Land use intensity,Natural/croplands,Natural/croplands,,NA,nutrient cycle,N cycling,N leaching,N leached,N leached,disservice,flux,flux,soil,BG,soil,neutral,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
9,Soil food web properties explain ecosystem services across European land use systems,"de Vries, FT; Thebault, E; Liiri, M; Birkhofer, K; Tsiafouli, MA; Bjornlund, L; Jorgensen, HB; Brady, MV; Christensen, S; de Ruiter, PC; d'Hertefeldt, T; Frouz, J; Hedlund, K; Hemerik, L; Hol, WHG; Hotes, S; Mortimer, SR; Setala, H; Sgardelis, SP; Uteseny, K; van der Putten, WH; Wolters, V; Bardgett, RD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,soil fauna; modeling; soil microbes; nitrogen,"Intensive land use reduces the diversity and abundance of many soil biota, with consequences for the processes that they govern and the ecosystem services that these processes underpin. Relationships between soil biota and ecosystem processes have mostly been found in laboratory experiments and rarely are found in the field. Here, we quantified, across four countries of contrasting climatic and soil conditions in Europe, how differences in soil food web composition resulting from land use systems (intensive wheat rotation, extensive rotation, and permanent grassland) influence the functioning of soils and the ecosystem services that they deliver. Intensive wheat rotation consistently reduced the biomass of all components of the soil food web across all countries. Soil food web properties strongly and consistently predicted processes of C and N cycling across land use systems and geographic locations, and they were a better predictor of these processes than land use. Processes of carbon loss increased with soil food web properties that correlated with soil C content, such as earthworm biomass and fungal/bacterial energy channel ratio, and were greatest in permanent grassland. In contrast, processes of N cycling were explained by soil food web properties independent of land use, such as arbuscular mycorrhizal fungi and bacterial channel biomass. Our quantification of the contribution of soil organisms to processes of C and N cycling across land use systems and geographic locations shows that soil biota need to be included in C and N cycling models and highlights the need to map and conserve soil biodiversity across the world.",2013,http://dx.doi.org/10.1073/pnas.1305198110,3,Oksana,,Yes,NA,field observation,Land use intensity,Land use intensity,Natural/croplands,Natural/croplands,,NA,nutrient cycle,N cycling,N2O production,N2O production,N2O production,disservice,flux,flux,soil,BG,soil,neutral,system type (Rotation croplands vs permanent grasslands),No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,soil food web,"invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods","fungi, bacteria, nematods, mites, collembola, earthworms",food web,richness,richness,neutral,AIC,Table 1,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Soil physical properties,No,No,NA,"croplands, grasslands","croplands, grasslands",Europe,International,"Sweden, United Kingdom, Czech Republic, and Greece",,,
10,Tropical land use alters functional diversity of soil food webs and leads to monopolization of the detrital energy channel,"Zhou, Z; Krashevska, V; Widyastuti, R; Scheu, S; Potapov, A",ELIFE,soil animals; land use; stable isotope; trophic structure; deforestation; Indonesia; Other; Arthropods,"Agricultural expansion is among the main threats to biodiversity and functions of tropical ecosystems. It has been shown that conversion of rainforest into plantations erodes biodiversity, but further consequences for food-web structure and energetics of belowground communities remains little explored. We used a unique combination of stable isotope analysis and food-web energetics to analyze in a comprehensive way consequences of the conversion of rainforest into oil palm and rubber plantations on the structure of and channeling of energy through soil animal food webs in Sumatra, Indonesia. Across the animal groups studied, most of the taxa had lower litter-calibrated & UDelta;C-13 values in plantations than in rainforests, suggesting that they switched to freshly-fixed plant carbon ('fast' energy channeling) in plantations from the detrital C pathway ('slow' energy channeling) in rainforests. These shifts led to changes in isotopic divergence, dispersion, evenness, and uniqueness. However, earthworms as major detritivores stayed unchanged in their trophic niche and monopolized the detrital pathway in plantations, resulting in similar energetic metrics across land-use systems. Functional diversity metrics of soil food webs were associated with reduced amount of litter, tree density, and species richness in plantations, providing guidelines on how to improve the complexity of the structure of and channeling of energy through soil food webs. Our results highlight the strong restructuring of soil food webs with the conversion of rainforest into plantations threatening soil functioning and ecosystem stability in the long term.",2022,http://dx.doi.org/10.7554/eLife.75428,4,Oksana,,No,No ecosystem functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Landuse Change in Savannas Disproportionately Reduces Functional Diversity of Invertebrate Predators at the Highest Trophic Levels: Spiders as an Example,"Joseph, GS; Mauda, EV; Seymour, CL; Munyai, TC; Dippenaar-Schoeman, A; Foord, SH",ECOSYSTEMS,agriculture; cropland; epigaeic spider species; food security; food web; functional diversity; functional traits; pest control,"Predators play a disproportionately positive role in ensuring integrity of food webs, influencing ecological processes and services upon which humans rely. Predators tend to be amongst the first species to be affected by anthropogenic disturbance, however. Spiders impact invertebrate population dynamics and stabilise food webs in natural and agricultural systems (potentially mitigating against crop pests and reduced yields). Africa's savannas are undergoing continent-wide conversion from low-density rangelands to villages and croplands, as human populations burgeon. Despite limited research, and evidence of deleterious impacts to biodiversity, African savannas are earmarked by prominent international organisations for conversion to cropland. Given the key role of spiders in food webs, they can have beneficial impacts in agroecosystems. Furthermore, functional diversity (FD) reflects ecosystem pattern and processes better than species diversity, so we evaluated impacts of large-scale landuse change on both species richness and FD. We surveyed spiders using pitfall traps at 42 sites (14 replicates each in rangeland, cropland, and villages) in South African savannas, investigating effects of landuse, season, and habitat variables on spider species diversity and FD. Species richness was lowest in villages. FD was lowest in cropland, however, with reduced representation of traits associated with hunting of larger invertebrates. Furthermore, there were fewer specialists in croplands. These findings suggest that even when cropland does not impact species diversity, loss of FD can still occur. As savanna systems transform, impacts on invertebrate population dynamics may increase the possibility of a breakdown in pest control in natural and agricultural systems, given changes in FD of invertebrate predators.",2018,http://dx.doi.org/10.1007/s10021-017-0194-0,5,Oksana,,No,No ecosystem functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
