"","Trtmnt","Focus_broad","Focus_specific","Focus_details","n"
"1","Land use intensity","Natural/croplands","Natural/croplands","",8
"2","Land use intensity","Natural/croplands","Natural/croplands","arable field %",2
"3","Land use intensity","Natural/croplands","Natural/croplands","non-crop habitats vs crop fields",1
"4","Land use intensity","Cover crop effects","Cover crop absence","absence of winter cover crop residue",2
"5","Land use intensity","Cover crop effects","Cover crop absence","cover crop absence",1
"6","Land use intensity","Cover crop effects","Cover crop absence","Flowering cover crop absence",4
"7","Land use intensity","Cover crop effects","Cover crop distance","cover crop distance",1
"8","Land use intensity","Cover crop effects","Cover crop reduction","reduction in % crop cover",1
"9","Land use intensity","Pollinator hives absence","Pollinator hives absence","Pollinator hives absence",2
"10","Land use intensity","Mowing","Mowing","",3
"11","Land use intensity","Grazing","Grazing","",2
"12","Land use intensity","Grazing","Grazing ","",10
"13","Land use intensity","Grazing abandonment ","Grazing abandonment ","",3
"14","Land use intensity","Woody encroachment ","Woody encroachment ","",4
"15","Land use intensity","Fertilization","Fertilization","conventional",3
"16","Land use intensity","Fertilization","Fertilization","manure, biochar, conventional",2
"17","Land use intensity","Fertilization","Fertilization","N",5
"18","Land use intensity","Fertilization","Fertilization","N, organic material",3
"19","Land use intensity","Fertilization","Fertilization","soil acidification (fertilisation)",1
"20","Land use intensity","Pesticides","Pesticides","",2
"21","Land use intensity","Organic/non-organic","Organic/non-organic","",13
"22","Land use intensity","Management intensity","Cropland management (combined)","tillage, cover crop cover",1
"23","Land use intensity","Management intensity","Cropland management (combined)","tillage, cover crop presence",1
"24","Land use intensity","Management intensity","Forest management (combined)","combined (forest species, maturity and species diversity)",2
"25","Land use intensity","Management intensity","Forest management (combined)","conversion of rainforest into monoculture plantations ",5
"26","Land use intensity","Management intensity","Forest management (combined)","forest management intensity (combined)",4
"27","Land use intensity","Management intensity","Fragmentation","fragmentation intensity",1
"28","Land use intensity","Management intensity","Grassland management (combined)","degradation state",4
"29","Land use intensity","Management intensity","Grassland management (combined)","grazing, mowing",1
"30","Land use intensity","Management intensity","Grassland management (combined)","mowing, grazing, ferilization",1
"31","Land use intensity","Management intensity","Tillage","tillage",7
"32","Disturbance","Disturbance","Disturbance","crop tree release",1
"33","Disturbance","Disturbance","Disturbance","pathogen infection",2
"34","Habitat complexity","Landscape heterogeneity","Landscape heterogeneity","landscape heterogeneity",4
"35","Habitat complexity","Habitat connectivity","Habitat connectivity","patches connectivity ",4
"36","Habitat complexity","Crop/non-crop lanscape","Crop/non-crop lanscape","crop habitata vs. non-crop habitats ",5
"37","Restoration","Restoration","Restoration","grazing abandonment",4
"38","Restoration","Restoration","Restoration","restoration period",4
"39","Restoration","Restoration","Restoration","seed sowing",3
"40","Restoration","Restoration","Restoration","topsoil removal, propagule addition",4
