"","Trophic.group_broad","Trophic.level_biodiversity","Trophic.group","Taxon_broad","Taxon_spec","n"
"1","plants","1","plants","plants","plants",78
"2","1st_cons","2","decomposers","invertebrates","arthropods",2
"3","1st_cons","2","herbivores","invertebrates","arthropods",6
"4","1st_cons","2","herbivores","vertebrates","livestock",1
"5","1st_cons","2","pollinators","invertebrates","arthropods",7
"6","2nd_cons","3","parasitoids","invertebrates","arthropods",5
"7","2nd_cons","3","parasitoids, predators","invertebrates","arthropods",1
"8","2nd_cons","3,4","predators","invertebrates","arthropods",15
"9","2nd_cons","3,4","predators","vertebrates","birds",1
"10","2nd_cons","4","hyperparasitoids","invertebrates","arthropods",1
"11","consumers","2,3","consumers","invertebrates","arthropods",1
"12","consumers","2,3","consumers","invertebrates","nematodes",1
"13","consumers","2,3","consumers","invertebrates, microorganisms","bacteria, fungi, archaea, protists, nematodes",1
"14","consumers","2,3","consumers","invertebrates, microorganisms","bacteria, fungi, nematodes",1
"15","consumers","2,3","consumers","microorganisms","bacteria",16
"16","consumers","2,3","consumers","microorganisms","bacteria, fungi",8
"17","consumers","2,3","consumers","microorganisms","bacteria, fungi, archaea",1
"18","consumers","2,3","consumers","microorganisms","eukaryotes",2
"19","consumers","2,3","consumers","microorganisms","fungi",13
"20","consumers","2,3","consumers","microorganisms","protists",1
"21","consumers","2,3","omnivores","invertebrates","arthropods",3
"22","consumers","2,3,4","consumers","invertebrates","arthropods",8
"23","consumers","2,3,4","consumers","invertebrates","nematodes",2
"24","consumers","2,3,4","consumers","invertebrates, microorganisms","fungi, protists, nematodes",2
"25","consumers","2,3,4","consumers","invertebrates, microorganisms","microorganisms, earthworms, arthropods",1
"26","consumers","2,3,4","consumers","vertebrates, invertebrates","vertebrates, invertebrates",8
"27","consumers","2,3,4","consumers","vertebrates, invertebrates, microorganisms","vertebrates, arthropods, fungi",3
"28","whole-food-web","1,2,3","plants, consumers","plants, invertebrates","plants, arthropods",1
"29","whole-food-web","1,2,3","plants, consumers","plants, invertebrates, microorganisms","plants, microorganisms, nematodes, arthropods",1
"30","whole-food-web","1,2,3,4","plants, consumers","plants, invertebrates","plants, arthropods",1
"31","whole-food-web","1,2,3,4","whole-food-web","plants, invertebrates","plants, arthropods",1
"32","whole-food-web","2,3","whole-food-web","invertebrates","arthropods",2
"33","whole-food-web","2,3,4","whole-food-web","invertebrates","arthropods",10
"34","whole-food-web","2,3,4","whole-food-web","invertebrates","nematodes",3
"35","whole-food-web","2,3,4","whole-food-web","invertebrates","nematods, arthropods",3
"36","whole-food-web","2,3,4","whole-food-web","invertebrates, microorganisms","bacteria, fungi, protists, arthropods",1
"37","whole-food-web","2,3,4","whole-food-web","invertebrates, microorganisms","fungi, bacteria, nematods, arthropods",1
"38","whole-food-web","2,3,4","whole-food-web","invertebrates, microorganisms","fungi, bacteria, nematods, earthworms, arthropods",5
"39","whole-food-web","3,4","whole-food-web","invertebrates","arthropods",4
"40","","","","","",121
